date,year,month,value
1877-12-01,1877,12,1.4640
1878-01-01,1878,1,0.1970
1878-02-01,1878,2,0.6310
1878-03-01,1878,3,-0.5740
1878-04-01,1878,4,-1.3090
1878-05-01,1878,5,0.3180
1878-06-01,1878,6,-0.8310
1878-07-01,1878,7,-1.5730
1878-08-01,1878,8,-2.4750
1878-09-01,1878,9,-0.3740
1878-10-01,1878,10,-1.1880
1878-11-01,1878,11,-3.3430
1878-12-01,1878,12,-4.2010
1879-01-01,1879,1,-1.0920
1879-02-01,1879,2,0.2420
1879-03-01,1879,3,0.1950
1879-04-01,1879,4,-0.0560
1879-05-01,1879,5,0.8680
1879-06-01,1879,6,0.3700
1879-07-01,1879,7,-0.6850
1879-08-01,1879,8,-0.4730
1879-09-01,1879,9,2.9850
1879-10-01,1879,10,-1.0630
1879-11-01,1879,11,-3.3670
1879-12-01,1879,12,0.5530
1880-01-01,1880,1,0.1830
1880-02-01,1880,2,1.1010
1880-03-01,1880,3,-0.1350
1880-04-01,1880,4,0.4960
1880-05-01,1880,5,-2.1830
1880-06-01,1880,6,1.2210
1880-07-01,1880,7,-0.7740
1880-08-01,1880,8,-1.6460
1880-09-01,1880,9,0.5170
1880-10-01,1880,10,-3.6480
1880-11-01,1880,11,1.2940
1880-12-01,1880,12,-0.6900
1881-01-01,1881,1,-4.8860
1881-02-01,1881,2,-1.5730
1881-03-01,1881,3,-1.1810
1881-04-01,1881,4,-2.7320
1881-05-01,1881,5,0.7760
1881-06-01,1881,6,0.0900
1881-07-01,1881,7,0.3800
1881-08-01,1881,8,-0.2950
1881-09-01,1881,9,-0.4990
1881-10-01,1881,10,-1.6600
1881-11-01,1881,11,3.0490
1881-12-01,1881,12,2.4180
1882-01-01,1882,1,1.7090
1882-02-01,1882,2,1.5940
1882-03-01,1882,3,3.1080
1882-04-01,1882,4,-0.9610
1882-05-01,1882,5,-2.1210
1882-06-01,1882,6,-0.7640
1882-07-01,1882,7,0.9390
1882-08-01,1882,8,0.4530
1882-09-01,1882,9,1.0170
1882-10-01,1882,10,0.8300
1882-11-01,1882,11,1.8320
1882-12-01,1882,12,-2.2050
1883-01-01,1883,1,0.8120
1883-02-01,1883,2,2.6510
1883-03-01,1883,3,-3.2980
1883-04-01,1883,4,0.3120
1883-05-01,1883,5,-0.9020
1883-06-01,1883,6,-0.2910
1883-07-01,1883,7,-0.4560
1883-08-01,1883,8,1.4660
1883-09-01,1883,9,0.6750
1883-10-01,1883,10,2.2910
1883-11-01,1883,11,2.3830
1883-12-01,1883,12,0.4790
1884-01-01,1884,1,1.7470
1884-02-01,1884,2,0.2930
1884-03-01,1884,3,-0.3140
1884-04-01,1884,4,-3.7620
1884-05-01,1884,5,0.3570
1884-06-01,1884,6,0.2840
1884-07-01,1884,7,-1.6910
1884-08-01,1884,8,0.1510
1884-09-01,1884,9,0.5320
1884-10-01,1884,10,0.5160
1884-11-01,1884,11,-1.2230
1884-12-01,1884,12,1.1380
1885-01-01,1885,1,-1.5650
1885-02-01,1885,2,-1.1400
1885-03-01,1885,3,-1.8880
1885-04-01,1885,4,-0.4810
1885-05-01,1885,5,-0.3990
1885-06-01,1885,6,-0.6360
1885-07-01,1885,7,-0.2980
1885-08-01,1885,8,-3.8380
1885-09-01,1885,9,1.0720
1885-10-01,1885,10,0.2920
1885-11-01,1885,11,-0.8480
1885-12-01,1885,12,-0.4110
1886-01-01,1886,1,-1.2790
1886-02-01,1886,2,-0.7210
1886-03-01,1886,3,0.2260
1886-04-01,1886,4,-1.3160
1886-05-01,1886,5,-0.6300
1886-06-01,1886,6,0.2850
1886-07-01,1886,7,-0.6810
1886-08-01,1886,8,1.2370
1886-09-01,1886,9,-0.1990
1886-10-01,1886,10,-0.1810
1886-11-01,1886,11,0.5780
1886-12-01,1886,12,-1.0650
1887-01-01,1887,1,0.7120
1887-02-01,1887,2,0.4450
1887-03-01,1887,3,-2.3860
1887-04-01,1887,4,-3.2290
1887-05-01,1887,5,-1.8330
1887-06-01,1887,6,-2.5880
1887-07-01,1887,7,-1.1110
1887-08-01,1887,8,-3.1460
1887-09-01,1887,9,-2.5160
1887-10-01,1887,10,-1.0800
1887-11-01,1887,11,-3.1620
1887-12-01,1887,12,-2.2620
1888-01-01,1888,1,-1.0570
1888-02-01,1888,2,-1.9040
1888-03-01,1888,3,-1.4770
1888-04-01,1888,4,-1.7650
1888-05-01,1888,5,0.1650
1888-06-01,1888,6,-0.7320
1888-07-01,1888,7,0.2750
1888-08-01,1888,8,1.5010
1888-09-01,1888,9,-1.0550
1888-10-01,1888,10,-0.6530
1888-11-01,1888,11,1.6600
1888-12-01,1888,12,0.6410
1889-01-01,1889,1,0.1290
1889-02-01,1889,2,-0.3400
1889-03-01,1889,3,0.2320
1889-04-01,1889,4,0.5670
1889-05-01,1889,5,0.5840
1889-06-01,1889,6,1.5690
1889-07-01,1889,7,-1.4400
1889-08-01,1889,8,1.9670
1889-09-01,1889,9,-2.1370
1889-10-01,1889,10,-0.6770
1889-11-01,1889,11,2.0290
1889-12-01,1889,12,1.6760
1890-01-01,1890,1,2.8950
1890-02-01,1890,2,-1.5400
1890-03-01,1890,3,0.5270
1890-04-01,1890,4,0.1190
1890-05-01,1890,5,-0.7760
1890-06-01,1890,6,1.2980
1890-07-01,1890,7,0.0910
1890-08-01,1890,8,0.4810
1890-09-01,1890,9,1.2320
1890-10-01,1890,10,0.9600
1890-11-01,1890,11,2.1500
1890-12-01,1890,12,-3.0350
1891-01-01,1891,1,0.0270
1891-02-01,1891,2,1.2860
1891-03-01,1891,3,-1.7510
1891-04-01,1891,4,-1.3260
1891-05-01,1891,5,-1.5550
1891-06-01,1891,6,-4.1850
1891-07-01,1891,7,-0.7060
1891-08-01,1891,8,0.6600
1891-09-01,1891,9,2.1870
1891-10-01,1891,10,0.2110
1891-11-01,1891,11,-1.7460
1891-12-01,1891,12,2.4630
1892-01-01,1892,1,-1.1150
1892-02-01,1892,2,-2.1250
1892-03-01,1892,3,-1.8180
1892-04-01,1892,4,-0.7970
1892-05-01,1892,5,-0.7090
1892-06-01,1892,6,0.2360
1892-07-01,1892,7,0.6340
1892-08-01,1892,8,0.2040
1892-09-01,1892,9,1.7310
1892-10-01,1892,10,-2.7920
1892-11-01,1892,11,0.7160
1892-12-01,1892,12,-1.2230
1893-01-01,1893,1,-2.5490
1893-02-01,1893,2,1.2240
1893-03-01,1893,3,-0.5880
1893-04-01,1893,4,-1.4820
1893-05-01,1893,5,-0.8170
1893-06-01,1893,6,-1.8830
1893-07-01,1893,7,-1.9470
1893-08-01,1893,8,-1.3250
1893-09-01,1893,9,-1.2070
1893-10-01,1893,10,0.3530
1893-11-01,1893,11,-2.1420
1893-12-01,1893,12,1.4410
1894-01-01,1894,1,0.4270
1894-02-01,1894,2,2.5930
1894-03-01,1894,3,0.5370
1894-04-01,1894,4,0.7910
1894-05-01,1894,5,-1.9340
1894-06-01,1894,6,0.8800
1894-07-01,1894,7,-0.4400
1894-08-01,1894,8,-1.1450
1894-09-01,1894,9,-2.7610
1894-10-01,1894,10,-2.4410
1894-11-01,1894,11,1.5190
1894-12-01,1894,12,0.3360
1895-01-01,1895,1,-3.3690
1895-02-01,1895,2,-5.0660
1895-03-01,1895,3,0.0050
1895-04-01,1895,4,-1.3750
1895-05-01,1895,5,0.3600
1895-06-01,1895,6,-0.6290
1895-07-01,1895,7,0.6080
1895-08-01,1895,8,0.3390
1895-09-01,1895,9,0.0410
1895-10-01,1895,10,-2.6510
1895-11-01,1895,11,0.4250
1895-12-01,1895,12,-0.8100
1896-01-01,1896,1,-0.8150
1896-02-01,1896,2,1.3180
1896-03-01,1896,3,1.6160
1896-04-01,1896,4,1.3670
1896-05-01,1896,5,-1.5000
1896-06-01,1896,6,-1.7260
1896-07-01,1896,7,-0.1880
1896-08-01,1896,8,-3.0630
1896-09-01,1896,9,-0.1790
1896-10-01,1896,10,-2.1250
1896-11-01,1896,11,-0.4030
1896-12-01,1896,12,1.2940
1897-01-01,1897,1,-3.2390
1897-02-01,1897,2,1.8630
1897-03-01,1897,3,2.0560
1897-04-01,1897,4,2.7300
1897-05-01,1897,5,-1.1820
1897-06-01,1897,6,-2.3160
1897-07-01,1897,7,-0.5520
1897-08-01,1897,8,1.5370
1897-09-01,1897,9,0.5810
1897-10-01,1897,10,-1.0030
1897-11-01,1897,11,-0.6700
1897-12-01,1897,12,0.9320
1898-01-01,1898,1,1.3040
1898-02-01,1898,2,1.0430
1898-03-01,1898,3,-2.2500
1898-04-01,1898,4,2.0780
1898-05-01,1898,5,-1.0200
1898-06-01,1898,6,-1.0260
1898-07-01,1898,7,-1.9830
1898-08-01,1898,8,1.6070
1898-09-01,1898,9,-0.2340
1898-10-01,1898,10,-0.6410
1898-11-01,1898,11,-0.7550
1898-12-01,1898,12,2.2080
1899-01-01,1899,1,-0.3770
1899-02-01,1899,2,-1.2330
1899-03-01,1899,3,-1.7050
1899-04-01,1899,4,0.5040
1899-05-01,1899,5,-1.2550
1899-06-01,1899,6,-0.8470
1899-07-01,1899,7,0.1140
1899-08-01,1899,8,-2.3920
1899-09-01,1899,9,-0.2530
1899-10-01,1899,10,-0.7660
1899-11-01,1899,11,1.5070
1899-12-01,1899,12,-1.4580
1900-01-01,1900,1,1.0480
1900-02-01,1900,2,-3.1030
1900-03-01,1900,3,-2.8760
1900-04-01,1900,4,1.5740
1900-05-01,1900,5,-0.5460
1900-06-01,1900,6,-0.0800
1900-07-01,1900,7,-0.9460
1900-08-01,1900,8,-0.5180
1900-09-01,1900,9,0.9690
1900-10-01,1900,10,0.1280
1900-11-01,1900,11,0.8900
1900-12-01,1900,12,2.6570
1901-01-01,1901,1,-0.0040
1901-02-01,1901,2,-2.9700
1901-03-01,1901,3,-1.3730
1901-04-01,1901,4,1.0980
1901-05-01,1901,5,-1.1600
1901-06-01,1901,6,-0.0590
1901-07-01,1901,7,-2.1140
1901-08-01,1901,8,-0.6540
1901-09-01,1901,9,0.4210
1901-10-01,1901,10,0.5040
1901-11-01,1901,11,-1.7170
1901-12-01,1901,12,-1.2060
1902-01-01,1902,1,0.3280
1902-02-01,1902,2,-2.6520
1902-03-01,1902,3,0.3580
1902-04-01,1902,4,-2.1940
1902-05-01,1902,5,1.1330
1902-06-01,1902,6,-3.3310
1902-07-01,1902,7,-1.1870
1902-08-01,1902,8,-0.0120
1902-09-01,1902,9,-0.2190
1902-10-01,1902,10,0.6700
1902-11-01,1902,11,0.1490
1902-12-01,1902,12,1.1670
1903-01-01,1903,1,0.6300
1903-02-01,1903,2,3.3110
1903-03-01,1903,3,4.4850
1903-04-01,1903,4,-0.9680
1903-05-01,1903,5,0.2840
1903-06-01,1903,6,-2.5300
1903-07-01,1903,7,-0.2410
1903-08-01,1903,8,1.4230
1903-09-01,1903,9,-0.2480
1903-10-01,1903,10,-0.0210
1903-11-01,1903,11,1.1010
1903-12-01,1903,12,-1.4010
1904-01-01,1904,1,1.6980
1904-02-01,1904,2,0.4850
1904-03-01,1904,3,-0.3560
1904-04-01,1904,4,2.5170
1904-05-01,1904,5,2.0850
1904-06-01,1904,6,-0.2130
1904-07-01,1904,7,1.1570
1904-08-01,1904,8,-0.4690
1904-09-01,1904,9,-0.2470
1904-10-01,1904,10,0.3110
1904-11-01,1904,11,-0.5740
1904-12-01,1904,12,-0.0230
1905-01-01,1905,1,0.9780
1905-02-01,1905,2,1.4070
1905-03-01,1905,3,2.6020
1905-04-01,1905,4,-0.9860
1905-05-01,1905,5,0.2110
1905-06-01,1905,6,-0.8810
1905-07-01,1905,7,0.6270
1905-08-01,1905,8,1.0720
1905-09-01,1905,9,0.9470
1905-10-01,1905,10,-2.1710
1905-11-01,1905,11,-0.0400
1905-12-01,1905,12,1.2190
1906-01-01,1906,1,2.3370
1906-02-01,1906,2,1.1160
1906-03-01,1906,3,-0.4390
1906-04-01,1906,4,1.0560
1906-05-01,1906,5,-2.6480
1906-06-01,1906,6,-1.4670
1906-07-01,1906,7,1.3930
1906-08-01,1906,8,0.0590
1906-09-01,1906,9,-0.4520
1906-10-01,1906,10,1.5040
1906-11-01,1906,11,0.6250
1906-12-01,1906,12,0.3540
1907-01-01,1907,1,1.0350
1907-02-01,1907,2,0.9100
1907-03-01,1907,3,3.0400
1907-04-01,1907,4,1.0640
1907-05-01,1907,5,-1.8220
1907-06-01,1907,6,1.9490
1907-07-01,1907,7,-0.9730
1907-08-01,1907,8,0.5750
1907-09-01,1907,9,-0.2930
1907-10-01,1907,10,-0.8870
1907-11-01,1907,11,-0.7020
1907-12-01,1907,12,0.4990
1908-01-01,1908,1,-0.0730
1908-02-01,1908,2,1.5030
1908-03-01,1908,3,1.4970
1908-04-01,1908,4,-0.9850
1908-05-01,1908,5,2.2520
1908-06-01,1908,6,0.3730
1908-07-01,1908,7,0.2740
1908-08-01,1908,8,0.4250
1908-09-01,1908,9,1.4250
1908-10-01,1908,10,0.3470
1908-11-01,1908,11,-0.2230
1908-12-01,1908,12,1.4390
1909-01-01,1909,1,1.0380
1909-02-01,1909,2,-0.7300
1909-03-01,1909,3,-2.4370
1909-04-01,1909,4,0.1340
1909-05-01,1909,5,-1.9940
1909-06-01,1909,6,-1.0100
1909-07-01,1909,7,1.5670
1909-08-01,1909,8,1.4780
1909-09-01,1909,9,-1.4290
1909-10-01,1909,10,1.4010
1909-11-01,1909,11,-2.1620
1909-12-01,1909,12,-1.6330
1910-01-01,1910,1,2.0600
1910-02-01,1910,2,2.9720
1910-03-01,1910,3,0.9440
1910-04-01,1910,4,-0.1270
1910-05-01,1910,5,-0.1310
1910-06-01,1910,6,-0.1950
1910-07-01,1910,7,-0.9590
1910-08-01,1910,8,-0.2220
1910-09-01,1910,9,-1.3510
1910-10-01,1910,10,-0.9020
1910-11-01,1910,11,-0.8070
1910-12-01,1910,12,-0.5350
1911-01-01,1911,1,0.4150
1911-02-01,1911,2,1.2130
1911-03-01,1911,3,-1.3450
1911-04-01,1911,4,-0.5090
1911-05-01,1911,5,0.7490
1911-06-01,1911,6,-0.6420
1911-07-01,1911,7,-1.9600
1911-08-01,1911,8,-0.5880
1911-09-01,1911,9,1.0140
1911-10-01,1911,10,-1.4680
1911-11-01,1911,11,0.0970
1911-12-01,1911,12,2.4410
1912-01-01,1912,1,-1.5100
1912-02-01,1912,2,-1.4880
1912-03-01,1912,3,2.4590
1912-04-01,1912,4,0.1810
1912-05-01,1912,5,2.1180
1912-06-01,1912,6,1.0110
1912-07-01,1912,7,-0.6450
1912-08-01,1912,8,0.5110
1912-09-01,1912,9,-2.3840
1912-10-01,1912,10,1.4730
1912-11-01,1912,11,1.6420
1912-12-01,1912,12,2.8800
1913-01-01,1913,1,1.0320
1913-02-01,1913,2,0.8190
1913-03-01,1913,3,2.8190
1913-04-01,1913,4,1.8340
1913-05-01,1913,5,0.9400
1913-06-01,1913,6,1.8800
1913-07-01,1913,7,-0.9970
1913-08-01,1913,8,0.2560
1913-09-01,1913,9,-2.6910
1913-10-01,1913,10,-1.6620
1913-11-01,1913,11,4.1220
1913-12-01,1913,12,0.6890
1914-01-01,1914,1,0.0830
1914-02-01,1914,2,1.1980
1914-03-01,1914,3,1.9100
1914-04-01,1914,4,1.2200
1914-05-01,1914,5,2.3150
1914-06-01,1914,6,0.0580
1914-07-01,1914,7,-1.0730
1914-08-01,1914,8,0.3380
1914-09-01,1914,9,-0.0940
1914-10-01,1914,10,-0.5190
1914-11-01,1914,11,-1.1990
1914-12-01,1914,12,1.5090
1915-01-01,1915,1,-0.1760
1915-02-01,1915,2,0.5000
1915-03-01,1915,3,-2.9960
1915-04-01,1915,4,2.7130
1915-05-01,1915,5,-2.4090
1915-06-01,1915,6,-1.0650
1915-07-01,1915,7,-0.0580
1915-08-01,1915,8,-0.2540
1915-09-01,1915,9,-0.2090
1915-10-01,1915,10,1.2620
1915-11-01,1915,11,-2.0050
1915-12-01,1915,12,-1.5070
1916-01-01,1916,1,3.2620
1916-02-01,1916,2,1.5510
1916-03-01,1916,3,-4.0190
1916-04-01,1916,4,1.2220
1916-05-01,1916,5,0.1800
1916-06-01,1916,6,-1.5260
1916-07-01,1916,7,0.0970
1916-08-01,1916,8,0.1040
1916-09-01,1916,9,-1.8430
1916-10-01,1916,10,3.3330
1916-11-01,1916,11,0.5520
1916-12-01,1916,12,-2.2070
1917-01-01,1917,1,-2.9220
1917-02-01,1917,2,-1.3190
