city,cycle,observed_class,predicted_class,hit,P_dry,P_normal,P_wet,alpha_prior_dry,alpha_prior_normal,alpha_prior_wet,det_I_total_obs_mm,prob_I_total_q05,prob_I_total_q50,prob_I_total_q95,det_I_total_error_mm,prob_CRPS_I_total_mm,prob_PIT_I_total,prob_coverage_90_I_total,prob_coverage_90_SW_daily,det_KGE_SW,det_NSE_SW,det_Pearson_r_SW,det_MAE_SW_mm,CRPSS_vs_naive_climatology,CRPSS_vs_persistence,CRPSS_vs_long_term_mean
Formosa_do_Rio_Preto,2021/2022,2,1,0,0.25,0.5,0.25,1.0,2.0,1.0,66.93650000000001,0.0,71.14999999999998,205.2259,4.213499999999968,17.077107628299977,0.17,1.0,0.9888888888888888,-0.0434859786258146,-0.2264252522932475,0.1037659430341522,13.396513750000004,-0.029057047350699,0.7591992494387889,0.4903384066351096
Formosa_do_Rio_Preto,2022/2023,1,1,1,0.2,0.4,0.4,1.0,2.0,2.0,135.40452499999998,0.0,71.12549999999999,205.2259,-64.27902499999999,22.4967254161,0.652,1.0,0.9444444444444444,0.1871643855802299,0.1498278997899412,0.3933710261750442,11.472098888888883,0.0322505293086462,0.67142727695008,0.3664778432523453
Formosa_do_Rio_Preto,2023/2024,2,1,0,0.16666666666666666,0.5,0.3333333333333333,1.0,3.0,2.0,0.0,0.0,69.54967499999997,204.674995,69.54967499999997,63.5320452772,0.112,1.0,0.9222222222222224,-0.0302386599258615,-0.113863260541513,0.1250936634346569,13.80246194444444,0.1166486935705388,0.5307982116757175,0.367630925891378
Formosa_do_Rio_Preto,2024/2025,1,1,1,0.14285714285714285,0.42857142857142855,0.42857142857142855,1.0,3.0,3.0,67.08944999999997,0.0,70.88750000000002,205.2259,3.798050000000046,13.18257343510001,0.2,1.0,0.9777777777777776,0.2375633850345632,0.1550105058738514,0.4258388761987169,11.135879861111109,0.1488290091589241,0.8035075047552183,0.5852261651993256
Luis_Eduardo_Magalhaes,2020/2021,1,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,137.3765,0.0,69.28387500000004,204.520825,-68.09262499999996,29.88607347010001,0.812,1.0,0.9444444444444444,0.0347616276630844,-0.0281132416176119,0.2062316425984985,13.623617638888888,-0.0330219824955655,0.7824513401484241,0.4338220506701935
Luis_Eduardo_Magalhaes,2021/2022,2,1,0,0.25,0.5,0.25,1.0,2.0,1.0,0.0,0.0,70.45499999999998,204.0741112499999,70.45499999999998,53.13812100529997,0.22,1.0,1.0,0.4574440686816623,-0.0808225837701865,0.5058233447495406,7.782615138888894,0.003864918861077,0.6131935155918227,0.3782877754391357
Luis_Eduardo_Magalhaes,2022/2023,2,1,0,0.2,0.4,0.4,1.0,2.0,2.0,0.0,0.0,69.35345000000001,204.0741112499999,69.35345000000001,52.8931210089,0.218,1.0,0.9777777777777776,0.1020885437069554,0.0287862601949293,0.3004257296083499,11.47117444444444,0.0208116279901432,,0.3708401622158253
Luis_Eduardo_Magalhaes,2023/2024,2,2,1,0.16666666666666666,0.3333333333333333,0.5,1.0,2.0,3.0,0.0,0.0,68.87038749999994,141.172025,68.87038749999994,44.3115937532,0.266,1.0,0.9888888888888888,0.2751939141462042,0.0639263472006418,0.3732800061382935,9.413076666666663,0.1271288009649426,,0.4642760983681639
Luis_Eduardo_Magalhaes,2024/2025,0,2,0,0.14285714285714285,0.2857142857142857,0.5714285714285714,1.0,2.0,4.0,0.0,0.0,68.38175000000001,141.172025,68.38175000000001,43.69733193009999,0.274,1.0,0.8555555555555555,-0.0653428370635786,-0.1361439118439018,0.1125335451132135,14.15867736111112,0.1013767894647147,,0.4631815507576251
Tasso_Fragoso,2020/2021,1,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,70.44349999999997,0.0,0.0,69.92749999999995,-70.44349999999997,30.258436162399978,0.968,0.0,0.8222222222222222,0.0602897360804135,-0.1461372753542531,0.505333430968618,16.500718194444442,0.0986705435484727,0.5704580811231698,0.3266464458875387
Tasso_Fragoso,2021/2022,2,1,0,0.25,0.5,0.25,1.0,2.0,1.0,0.0,0.0,0.0,69.93660749999995,0.0,8.198172484,0.652,1.0,0.9777777777777776,-0.2770936597800975,-0.298054021980578,-0.0473930850370034,13.360464166666652,0.2643586488964295,0.8836205968755101,0.6877544073641384
Tasso_Fragoso,2022/2023,1,1,1,0.2,0.4,0.4,1.0,2.0,2.0,66.23502499999998,0.0,0.0,70.12634249999998,-66.23502499999998,30.653408350599975,0.692,1.0,0.9555555555555556,0.1690829733303652,0.2004912956189971,0.4871957945972004,7.05194888888889,-0.0962305355384307,0.5372024340505648,0.2414384691800974
Tasso_Fragoso,2023/2024,1,1,1,0.16666666666666666,0.5,0.3333333333333333,1.0,3.0,2.0,0.0,0.0,0.0,70.12634249999998,0.0,8.3353403795,0.65,1.0,1.0,0.0331681307666813,-0.1712481285299718,0.1810124750690771,6.889402916666669,0.0975679279621412,0.8741550957442833,0.6851842041263478
Tasso_Fragoso,2024/2025,2,1,0,0.14285714285714285,0.5714285714285714,0.2857142857142857,1.0,4.0,2.0,0.0,0.0,0.0,70.10964999999999,0.0,7.270288979299998,0.674,1.0,1.0,0.1021608287379693,0.0495546536059237,0.3458600574360323,7.41215972222222,-0.0643003100981502,,0.7209810441316081
Urucui,2020/2021,2,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,69.40849999999995,0.0,67.981,138.63819999999993,-1.4274999999999525,9.993087168599985,0.662,1.0,0.9444444444444444,0.0190866358818986,-0.0898727643266403,0.1588444825217263,12.584227083333332,0.0674471565449642,-11.746284653826644,0.0382592800144332
Urucui,2021/2022,2,2,1,0.25,0.25,0.5,1.0,1.0,2.0,0.0,0.0,67.92600000000002,136.58068499999996,67.92600000000002,33.28849016039999,0.328,1.0,0.9777777777777776,0.1385308877146285,0.1175133720985878,0.354042725527971,11.62489208333334,0.1190557965499159,0.520397499435948,0.4376094191815665
Urucui,2022/2023,0,2,0,0.2,0.2,0.6,1.0,1.0,3.0,66.76129999999999,0.0,67.63835000000002,136.55149999999998,0.8770500000000254,9.579756172199996,0.402,1.0,0.9666666666666668,0.3351087547355074,0.3732946487810534,0.6943310839480954,9.068481111111112,0.1831732143469862,0.8565073452404313,-0.1216734172233491
Urucui,2023/2024,1,2,0,0.3333333333333333,0.16666666666666666,0.5,2.0,1.0,3.0,0.0,0.0,67.981,137.13519999999997,67.981,33.118274749799994,0.324,1.0,1.0,0.1873149401609086,0.0291341180905159,0.3116431687052285,9.538689305555556,0.0381102621577594,0.5039300500469585,0.4325025777007737
Urucui,2024/2025,0,2,0,0.2857142857142857,0.2857142857142857,0.42857142857142855,2.0,2.0,3.0,69.47657499999994,0.0,67.12950000000001,136.55149999999998,-2.3470749999999327,9.927761691599976,0.712,1.0,0.9777777777777776,0.1082799371666485,-0.0061029013404103,0.252160465109071,11.379833749999996,0.082351635422892,0.8571063456769423,0.1757391256945497
